42.116.221.133 - - [14/Mar/2025:07:54:44 +0000] "GET / HTTP/2.0" 426 16 "https://93.127.198.99:8443/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "-"
42.116.221.133 - - [14/Mar/2025:07:54:44 +0000] "GET /favicon.ico HTTP/2.0" 426 16 "https://ait-ws-server.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "-"
23.178.112.212 - - [14/Mar/2025:07:54:57 +0000] "GET /.well-known/acme-challenge/wfmMPXphFfgHhs07bd_wBynJc7x2oeoHjkiHdnicgwE HTTP/1.1" 301 162 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "-"
23.178.112.212 - - [14/Mar/2025:07:54:58 +0000] "GET /.well-known/acme-challenge/wfmMPXphFfgHhs07bd_wBynJc7x2oeoHjkiHdnicgwE HTTP/1.1" 426 16 "http://ait-ws-server.com/.well-known/acme-challenge/wfmMPXphFfgHhs07bd_wBynJc7x2oeoHjkiHdnicgwE" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "-"
42.116.221.133 - - [14/Mar/2025:07:57:30 +0000] "GET / HTTP/1.1" 101 54 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "-"
95.161.76.18 - - [14/Mar/2025:07:57:38 +0000] "GET / HTTP/2.0" 426 16 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
95.161.76.3 - - [14/Mar/2025:07:57:38 +0000] "GET / HTTP/2.0" 426 16 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
54.174.109.174 - - [14/Mar/2025:07:58:26 +0000] "GET / HTTP/2.0" 426 16 "-" "okhttp/4.9.2" "-"
54.174.109.174 - - [14/Mar/2025:07:58:27 +0000] "GET /favicon.ico HTTP/2.0" 426 16 "-" "okhttp/4.9.2" "-"
54.174.109.174 - - [14/Mar/2025:07:58:27 +0000] "GET /favicon.png HTTP/2.0" 426 16 "-" "okhttp/4.9.2" "-"
